scenario,year,zone,CAR,ARTIC,RIGID,VAN,CAR_AV,ARTIC_AV,RIGID_AV,VAN_AV,TOTAL
01-BaU,2030,E07000012,4968932.21,439623.7,220501.19,1206406.05,0.0,0.0,0.0,0.0,6835463.15
01-BaU,2030,E07000010,927792.96,70259.6,46502.46,224098.22,0.0,0.0,0.0,0.0,1268653.24
01-BaU,2030,E06000032,1064745.78,57295.09,36339.36,250583.69,0.0,0.0,0.0,0.0,1408963.9200000002
01-BaU,2030,E06000030,3172464.22,190509.65,106966.83,735447.11,0.0,0.0,0.0,0.0,4205387.8100000005
01-BaU,2030,E06000031,2903187.63,173862.05,98815.11,616644.84,0.0,0.0,0.0,0.0,3792509.63
01-BaU,2030,E07000102,3164657.85,182179.37,144483.01,604937.2,0.0,0.0,0.0,0.0,4096257.43
01-BaU,2030,E07000103,630394.55,2925.7,13270.39,126112.4,0.0,0.0,0.0,0.0,772703.04
01-BaU,2030,E07000099,2147728.13,52596.68,64354.89,420917.2,0.0,0.0,0.0,0.0,2685596.9
01-BaU,2030,E07000095,749723.92,22690.35,36867.93,208914.62,0.0,0.0,0.0,0.0,1018196.8200000001
01-BaU,2030,E07000096,2188495.73,88979.19,79900.66,490431.38,0.0,0.0,0.0,0.0,2847806.96
01-BaU,2030,E07000098,2893969.43,169158.68,138509.51,680048.57,0.0,0.0,0.0,0.0,3881686.1900000004
01-BaU,2040,E07000180,3104510.24,162144.94,155682.11,789930.85,0.0,0.0,0.0,0.0,4212268.140000001
01-BaU,2040,E07000181,1559790.79,40161.45,61854.28,341422.17,0.0,0.0,0.0,0.0,2003228.69
01-BaU,2040,E07000177,6077757.43,419112.83,276986.75,1365216.64,0.0,0.0,0.0,0.0,8139073.649999999
01-BaU,2040,E07000178,856091.14,19919.57,24954.9,145802.53,0.0,0.0,0.0,0.0,1046768.1399999999
01-BaU,2040,E07000179,4081300.25,174915.52,174010.67,873384.81,0.0,0.0,0.0,0.0,5303611.25
01-BaU,2040,E06000042,4704621.64,440448.88,194257.57,1051154.19,0.0,0.0,0.0,0.0,6390482.279999999
01-BaU,2040,E07000154,2347490.07,67973.5,65101.62,413504.11,0.0,0.0,0.0,0.0,2894069.3
01-BaU,2040,E07000155,4704534.38,555848.96,237622.86,1188876.43,0.0,0.0,0.0,0.0,6686882.63
01-BaU,2040,E07000156,1536211.28,55584.93,45781.47,278482.44,0.0,0.0,0.0,0.0,1916060.12
01-BaU,2040,E07000150,478919.73,19611.74,22670.03,126876.32,0.0,0.0,0.0,0.0,648077.82
01-BaU,2040,E07000151,4885976.96,678237.03,273608.92,1209453.9,0.0,0.0,0.0,0.0,7047276.8100000005
01-BaU,2040,E07000152,2149905.79,179896.86,96458.73,542884.54,0.0,0.0,0.0,0.0,2969145.92
01-BaU,2040,E07000153,2073495.24,216998.15,101468.23,572331.9,0.0,0.0,0.0,0.0,2964293.52
01-BaU,2040,E06000056,7504031.63,701681.11,362714.68,1922888.22,0.0,0.0,0.0,0.0,10491315.64
01-BaU,2040,E06000055,2724682.35,105304.7,90336.1,617675.12,0.0,0.0,0.0,0.0,3537998.2700000005
01-BaU,2040,E07000242,2406546.53,46524.9,85176.9,614974.66,0.0,0.0,0.0,0.0,3153222.9899999998
01-BaU,2040,E07000243,759585.74,14182.3,18812.96,162580.01,0.0,0.0,0.0,0.0,955161.01
01-BaU,2040,E07000240,5143329.02,471729.9,232903.85,1014158.57,0.0,0.0,0.0,0.0,6862121.34
01-BaU,2040,E07000241,1610336.61,44321.5,66646.67,359904.32,0.0,0.0,0.0,0.0,2081209.1
01-BaU,2040,E07000008,805779.96,29836.02,22752.99,192582.2,0.0,0.0,0.0,0.0,1050951.17
01-BaU,2040,E07000009,1925766.52,154405.22,92720.88,530419.39,0.0,0.0,0.0,0.0,2703312.01
01-BaU,2040,E07000004,3692605.17,101478.54,121002.38,744849.11,0.0,0.0,0.0,0.0,4659935.2
01-BaU,2040,E07000005,1929437.35,85524.19,83987.29,368030.97,0.0,0.0,0.0,0.0,2466979.8
01-BaU,2040,E07000006,5422183.77,238912.31,231472.78,957935.98,0.0,0.0,0.0,0.0,6850504.839999999
01-BaU,2040,E07000007,3571052.17,146625.2,128829.9,752940.64,0.0,0.0,0.0,0.0,4599447.91
01-BaU,2040,E07000011,4599568.09,590350.0,214107.74,974728.39,0.0,0.0,0.0,0.0,6378754.22
01-BaU,2040,E07000012,5459570.13,449158.89,234971.0,1307538.58,0.0,0.0,0.0,0.0,7451238.6
01-BaU,2040,E07000010,1050915.36,77293.71,48881.21,240738.27,0.0,0.0,0.0,0.0,1417828.55
01-BaU,2040,E06000032,1232425.91,67017.24,40545.7,270229.02,0.0,0.0,0.0,0.0,1610217.8699999999
01-BaU,2040,E06000030,3641250.74,217300.9,117303.41,802442.57,0.0,0.0,0.0,0.0,4778297.62
01-BaU,2040,E06000031,3272647.67,179742.01,105626.78,665311.02,0.0,0.0,0.0,0.0,4223327.4799999995
01-BaU,2040,E07000102,3669187.44,223509.79,175612.32,697380.5,0.0,0.0,0.0,0.0,4765690.05
01-BaU,2040,E07000103,715204.14,3198.2,14185.93,129581.48,0.0,0.0,0.0,0.0,862169.75
01-BaU,2040,E07000099,2240235.35,58609.12,70453.35,449560.09,0.0,0.0,0.0,0.0,2818857.91
01-BaU,2040,E07000095,853582.11,24176.17,39127.65,227866.56,0.0,0.0,0.0,0.0,1144752.49
01-BaU,2040,E07000096,2499019.44,104276.49,90139.56,544308.22,0.0,0.0,0.0,0.0,3237743.71
01-BaU,2040,E07000098,3180250.94,192160.78,146769.94,697391.1,0.0,0.0,0.0,0.0,4216572.76
01-BaU,2050,E07000180,3364838.6,164259.93,167773.73,878416.8,0.0,0.0,0.0,0.0,4575289.0600000005
01-BaU,2050,E07000181,1769873.91,46982.56,68429.95,369799.63,0.0,0.0,0.0,0.0,2255086.05
01-BaU,2050,E07000177,6737148.21,432397.8,295575.42,1449253.61,0.0,0.0,0.0,0.0,8914375.04
01-BaU,2050,E07000178,973274.02,23712.5,27490.65,160388.29,0.0,0.0,0.0,0.0,1184865.46
01-BaU,2050,E07000179,4709522.93,192770.4,188979.76,957180.61,0.0,0.0,0.0,0.0,6048453.7
01-BaU,2050,E06000042,5508404.4,506828.83,218840.99,1150026.71,0.0,0.0,0.0,0.0,7384100.930000001
01-BaU,2050,E07000154,2660478.62,74456.15,72032.06,457075.37,0.0,0.0,0.0,0.0,3264042.2
01-BaU,2050,E07000155,5266799.4,626645.4,264787.89,1280004.85,0.0,0.0,0.0,0.0,7438237.540000001
01-BaU,2050,E07000156,1713466.81,59732.34,48778.46,301880.74,0.0,0.0,0.0,0.0,2123858.35
01-BaU,2050,E07000150,537214.49,20721.7,25542.89,142419.97,0.0,0.0,0.0,0.0,725899.0499999999
01-BaU,2050,E07000151,5491663.14,754192.8,303442.6,1272012.27,0.0,0.0,0.0,0.0,7821310.81
01-BaU,2050,E07000152,2320946.97,187864.05,102837.41,574691.56,0.0,0.0,0.0,0.0,3186339.99
01-BaU,2050,E07000153,2251467.62,225833.65,109833.13,611708.43,0.0,0.0,0.0,0.0,3198842.83
01-BaU,2050,E06000056,8807444.66,802465.79,408937.27,2106491.41,0.0,0.0,0.0,0.0,12125339.129999999
01-BaU,2050,E06000055,3159732.91,112942.28,104166.03,713692.93,0.0,0.0,0.0,0.0,4090534.15
01-BaU,2050,E07000242,2788263.92,51108.34,95825.34,706195.77,0.0,0.0,0.0,0.0,3641393.3699999996
01-BaU,2050,E07000243,862197.81,16313.21,20871.65,179138.97,0.0,0.0,0.0,0.0,1078521.6400000001
01-BaU,2050,E07000240,5877589.86,542236.31,269026.25,1118428.44,0.0,0.0,0.0,0.0,7807280.859999999
01-BaU,2050,E07000241,1706056.32,53606.77,75433.78,391778.85,0.0,0.0,0.0,0.0,2226875.72
01-BaU,2050,E07000008,926746.4,31361.48,25606.75,217664.36,0.0,0.0,0.0,0.0,1201378.99
01-BaU,2050,E07000009,2153084.43,164614.99,103102.4,585532.6,0.0,0.0,0.0,0.0,3006334.42
01-BaU,2050,E07000004,4223496.19,112753.94,137207.02,838266.91,0.0,0.0,0.0,0.0,5311724.0600000005
01-BaU,2050,E07000005,2291511.65,103937.76,103361.24,428887.03,0.0,0.0,0.0,0.0,2927697.6799999997
01-BaU,2050,E07000006,6350773.5,279803.76,267024.4,1059920.6,0.0,0.0,0.0,0.0,7957522.26
01-BaU,2050,E07000007,4063083.05,160391.46,139747.05,797593.54,0.0,0.0,0.0,0.0,5160815.1
01-BaU,2050,E07000011,5025523.67,617828.3,228200.25,1032288.52,0.0,0.0,0.0,0.0,6903840.74
01-BaU,2050,E07000012,6035638.38,460898.87,254819.94,1450163.66,0.0,0.0,0.0,0.0,8201520.85
01-BaU,2050,E07000010,1180791.46,85603.7,53925.61,264635.06,0.0,0.0,0.0,0.0,1584955.8299999998
01-BaU,2050,E06000032,1474184.13,76969.69,46661.66,306728.07,0.0,0.0,0.0,0.0,1904543.5499999998
01-BaU,2050,E06000030,4213870.07,253350.33,131182.05,875663.92,0.0,0.0,0.0,0.0,5474066.37
01-BaU,2050,E06000031,3671232.11,188209.66,113289.31,731036.84,0.0,0.0,0.0,0.0,4703767.92
01-BaU,2050,E07000102,4287043.42,269846.91,214658.46,808220.46,0.0,0.0,0.0,0.0,5579769.25
01-BaU,2050,E07000103,818158.6,3804.33,15636.37,137054.12,0.0,0.0,0.0,0.0,974653.4199999999
01-BaU,2050,E07000099,2444487.51,67142.13,79406.09,495980.29,0.0,0.0,0.0,0.0,3087016.0199999996
01-BaU,2050,E07000095,972285.0,26688.18,43755.02,258149.72,0.0,0.0,0.0,0.0,1300877.92
01-BaU,2050,E07000096,2881656.45,120544.54,105953.44,616196.43,0.0,0.0,0.0,0.0,3724350.8600000003
01-BaU,2050,E07000098,3487620.27,213198.05,157949.78,728686.18,0.0,0.0,0.0,0.0,4587454.28
02-HighlyConnected,2015,E07000180,2488103.31,139431.74,110701.42,568522.75,0.0,0.0,0.0,0.0,3306759.2199999997
02-HighlyConnected,2015,E07000181,1137466.17,31754.13,51915.14,287100.18,0.0,0.0,0.0,0.0,1508235.6199999999
02-HighlyConnected,2015,E07000177,4569158.21,348641.87,214167.29,1195317.54,0.0,0.0,0.0,0.0,6327284.91
02-HighlyConnected,2015,E07000178,669842.27,13947.18,20508.86,116247.34,0.0,0.0,0.0,0.0,820545.6500000001
